Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",117.300000,-27.150000,90.000000,top
"C2","10uF","C_0805_2012Metric",119.100000,-40.900000,90.000000,top
"C3","100nF","C_0805_2012Metric",114.900000,-27.150000,90.000000,top
"C4","10uF","C_0805_2012Metric",118.800000,-56.200000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",132.110000,-70.800000,0.000000,top
"R1","10k","R_0805_2012Metric",119.900000,-27.200000,-90.000000,top
"R2","5.1","R_0805_2012Metric",134.800000,-63.600000,0.000000,top
"R3","5.1","R_0805_2012Metric",126.420000,-63.610000,180.000000,top
"R4","330","R_0805_2012Metric",135.100000,-47.475000,0.000000,top
"SW1","SW_Push","SW_SPST_PTS645Sx43SMTR92",136.300000,-57.200000,0.000000,top
"SW2","SW_Push","SW_SPST_PTS645Sx43SMTR92",125.920000,-57.150000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",118.900000,-66.200000,180.000000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",132.400000,-32.850000,0.000000,top
