Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20",0603,2,4.7uF,C69335
"C10, C12, C13, C18, C2, C21, C3, C4, C5",0603,9,100nF,C1590
"C11, C17, C19, C6, C7, C8, C9",0603,7,10uF,C70225
"C14, C15",0603,2,470pF,C1620
C16,0603,1,1uF,C1592
CN1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,1,S2B-PH-SM4-TB,C295747
"KEY1, KEY2",KEY-SMD_1TS003B-2500-3500A-CT,2,SW2,C255810
"L1, L2, L3, L4",L0603,4,120Ω@100MHz,C14709
LED1,LED-SMD_4P-L4.0-W1.6-L,1,SK6812SIDE-A-RVS,C2890037
R1,0603,1,100k,C14675
"R2, R3",0603,2,5.1k,C14677
"R4, R5",0603,2,10k,C15401 
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U2,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,1,MAX98357AETE+T,C910544
U3,U-DFN3030-8_L3.0-W3.0-P0.65-BL-EP,1,AP7361-33FGE-7,C460392
U4,CONN-SMD_S3B-PH-SM4-TB-LF-SN,1,S3B-PH-SM4-TB,C265101
U6,MIC-SMD_6P-L3.5-W2.7-P0.90-BL,1,ICS-43434_C5656610,C5656610
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
