Comment,Designator,Footprint,LCSC
100nF,"C1,C3",C_0805_2012Metric,C49678
10uF,"C2,C4",C_0805_2012Metric,C15850
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Conn_01x05,"J2,J5",PinHeader_1x05_P2.54mm_Vertical,C358687
Conn_01x02,J4,PinHeader_1x02_P2.54mm_Vertical,C376042
10k,R1,R_0805_2012Metric,C17414
5.1k,"R2,R3",R_0805_2012Metric,C27834
330,R4,R_0805_2012Metric,C23138
SW_Push,"SW1,SW2",SW_SPST_PTS645Sx43SMTR92,C221880
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
ESP32-S3-WROOM-1-N16R8,U2,ESP32-S3-WROOM-1,C2913202
